pm2.5,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,aqi,aqi_bucket,year,month,day,day_of_week,week_of_year,pm_ratio,nox_total
313.22,607.98,69.16,36.39,110.59,33.85,15.2,9.25,41.68,14.36,24.86,472.0,Severe,2015,1,1,3,1,0.5143354461558672,105.55
186.18,269.55,62.09,32.87,88.14,31.83,9.54,6.65,29.97,10.55,20.09,454.0,Severe,2015,1,2,4,1,0.6881537608575125,94.96000000000001
87.18,131.9,25.73,30.31,47.95,69.55,10.61,2.65,19.71,3.91,10.23,143.0,Moderate,2015,1,3,5,1,0.6559819413092551,56.04
151.84,241.84,25.01,36.91,48.62,130.36,11.54,4.63,25.36,4.26,9.71,319.0,Very Poor,2015,1,4,6,1,0.6252676659528908,61.92
146.6,219.13,14.01,34.92,38.25,122.88,9.2,3.33,23.2,2.8,6.21,325.0,Very Poor,2015,1,5,0,2,0.6659701085722073,48.93
149.58,252.1,17.21,37.84,42.46,134.97,9.44,3.66,26.83,3.63,7.35,318.0,Very Poor,2015,1,6,1,2,0.5909917028842355,55.050000000000004
217.87,376.51,26.99,40.15,52.41,134.82,9.78,5.82,28.96,4.93,9.42,353.0,Very Poor,2015,1,7,2,2,0.5771237848004027,67.14
229.9,360.95,23.34,43.16,51.21,138.13,11.01,3.31,30.51,5.8,11.4,383.0,Very Poor,2015,1,8,3,2,0.6351706036745407,66.5
201.66,397.43,19.18,38.56,45.6,140.6,11.09,3.48,32.94,5.25,11.12,375.0,Very Poor,2015,1,9,4,2,0.5061365861004442,57.74
221.02,361.74,24.79,46.39,55.19,134.06,9.7,5.91,34.12,4.87,9.44,376.0,Very Poor,2015,1,10,5,2,0.6093069416110714,71.18
205.41,393.2,28.46,47.29,57.88,131.1,10.98,5.54,50.37,5.93,10.59,379.0,Very Poor,2015,1,11,6,2,0.5210806697108067,75.75
212.41,345.63,24.77,44.71,54.66,148.51,9.3,5.17,40.08,6.2,10.68,375.0,Very Poor,2015,1,12,0,3,0.6127859677465886,69.48
197.61,301.04,34.28,45.88,62.95,145.48,11.52,5.95,39.54,5.18,9.5,366.0,Very Poor,2015,1,13,1,3,0.6542510925705205,80.16
164.39,227.38,20.78,41.17,48.09,166.7,10.32,4.85,42.05,4.57,10.72,353.0,Very Poor,2015,1,14,2,3,0.7198090901129696,61.95
166.19,283.93,47.91,56.7,79.73,124.64,10.81,6.94,43.25,6.98,20.55,340.0,Very Poor,2015,1,15,3,3,0.5832660653493841,104.61
174.98,309.99,42.33,49.41,70.6,136.4,11.46,4.69,34.7,7.75,15.83,356.0,Very Poor,2015,1,16,4,3,0.5626547477410849,91.74
196.46,356.2,42.18,53.04,80.18,125.49,8.87,5.13,25.77,9.92,17.59,360.0,Very Poor,2015,1,17,5,3,0.55,95.22
201.51,359.75,45.51,53.77,75.83,120.45,8.99,5.43,23.22,9.0,20.95,370.0,Very Poor,2015,1,18,6,3,0.5585862785862785,99.28
183.35,305.13,27.32,39.88,55.67,148.49,9.02,4.21,25.34,5.57,12.93,362.0,Very Poor,2015,1,19,0,4,0.5989285597621925,67.2
165.63,257.04,16.47,34.23,37.68,146.31,8.03,4.11,22.69,3.42,6.76,340.0,Very Poor,2015,1,20,1,4,0.6418772283366919,50.699999999999996
159.54,235.27,12.27,22.56,33.02,63.23,9.01,7.05,18.56,4.1,8.26,338.0,Very Poor,2015,1,21,2,4,0.6752444237524865,34.83
143.68,183.89,14.75,21.82,34.88,39.65,10.58,8.64,6.94,4.15,9.54,332.0,Very Poor,2015,1,22,3,4,0.7771107144788795,36.57
128.73,136.07,11.99,17.35,29.46,39.98,8.74,6.77,10.91,2.51,7.64,254.0,Poor,2015,1,23,4,4,0.9391551761873494,29.340000000000003
164.98,200.02,10.38,15.77,25.49,38.77,9.39,8.89,9.35,2.6,5.5,324.0,Very Poor,2015,1,24,5,4,0.8207143567804198,26.15
148.59,203.81,11.82,20.83,28.29,45.62,11.44,5.96,16.65,3.37,6.98,333.0,Very Poor,2015,1,25,6,4,0.7255016844880621,32.65
129.34,137.86,12.46,25.66,29.48,60.96,10.19,6.78,18.18,3.0,5.87,292.0,Poor,2015,1,26,0,5,0.9314417398818954,38.120000000000005
154.2,217.2,14.41,30.39,34.63,40.96,10.36,6.42,17.11,3.31,6.31,318.0,Very Poor,2015,1,27,1,5,0.7066911090742438,44.8
134.6,156.9,18.96,28.6,35.57,49.71,10.21,5.21,15.23,3.27,6.86,295.0,Poor,2015,1,28,2,5,0.8524382520582646,47.56
173.13,277.0,23.14,38.34,48.89,62.03,11.74,5.53,16.29,4.02,9.84,327.0,Very Poor,2015,1,29,3,5,0.6227697841726618,61.480000000000004
178.04,272.61,19.8,38.43,44.45,69.78,11.58,6.43,14.91,3.65,6.61,345.0,Very Poor,2015,1,30,4,5,0.6507072109937502,58.230000000000004
158.59,207.06,30.67,41.36,57.77,67.66,8.7,5.03,17.51,4.36,8.98,334.0,Very Poor,2015,1,31,5,5,0.7622320484475632,72.03
211.59,371.05,57.56,58.17,93.17,96.69,13.08,9.9,23.28,6.65,15.45,358.0,Very Poor,2015,2,1,6,5,0.568713882542669,115.73
163.64,219.84,13.7,37.25,39.34,84.49,10.59,5.31,28.38,2.53,4.69,349.0,Very Poor,2015,2,2,0,6,0.7409889512769425,50.95
157.71,194.09,12.28,31.05,34.1,66.38,8.21,5.64,28.56,2.13,4.24,334.0,Very Poor,2015,2,3,1,6,0.8083961248654468,43.33
137.26,147.08,15.21,29.69,36.06,53.28,9.11,5.06,15.07,3.04,6.31,313.0,Very Poor,2015,2,4,2,6,0.9269313884386816,44.900000000000006
131.76,127.42,23.15,36.51,47.4,51.24,8.18,4.85,21.7,4.92,10.17,262.0,Poor,2015,2,5,3,6,1.026008409904999,59.66
151.6,330.99,46.66,67.0,84.76,63.45,5.51,9.13,33.92,9.46,19.7,303.0,Very Poor,2015,2,6,4,6,0.45664026024880267,113.66
160.75,210.52,37.54,57.69,71.68,58.15,10.28,6.91,43.44,5.5,14.95,329.0,Very Poor,2015,2,7,5,6,0.7599754160363086,95.22999999999999
145.34,215.69,30.54,50.39,61.78,66.72,5.39,8.66,30.43,2.42,6.5,323.0,Very Poor,2015,2,8,6,6,0.6707277677788546,80.93
134.67,109.86,19.95,39.18,44.48,74.29,5.11,9.7,20.62,2.59,3.17,266.0,Poor,2015,2,9,0,7,1.214775392386794,59.129999999999995
153.07,218.23,23.41,42.2,48.01,79.54,10.88,5.81,19.02,5.58,7.1,319.0,Very Poor,2015,2,10,1,7,0.6982164849701227,65.61
116.91,316.14,33.79,53.63,64.04,95.13,12.64,7.54,27.17,5.96,5.59,334.0,Very Poor,2015,2,11,2,7,0.3686384562023081,87.42
177.98,394.97,30.48,42.73,58.19,69.47,13.75,9.2,25.58,3.5,7.38,342.0,Very Poor,2015,2,12,3,7,0.4494784958456448,73.21
167.01,328.43,32.23,44.61,55.13,83.96,11.26,7.77,27.62,3.53,7.69,341.0,Very Poor,2015,2,13,4,7,0.5069665786358255,76.84
193.96,412.46,81.47,53.81,107.76,137.27,11.73,9.36,34.22,9.01,17.88,377.0,Very Poor,2015,2,14,5,7,0.46911430368113,135.28
184.06,497.37,44.16,58.15,75.98,61.89,13.78,9.13,40.91,4.79,8.98,391.0,Very Poor,2015,2,15,6,7,0.3693239962277023,102.31
152.62,310.74,24.32,44.22,49.67,74.74,11.55,6.79,34.36,2.84,5.37,358.0,Very Poor,2015,2,16,0,8,0.48957464553794827,68.53999999999999
161.27,195.78,23.71,25.4,42.76,75.66,10.3,5.6,41.62,3.04,5.62,327.0,Very Poor,2015,2,17,1,8,0.8195446691736966,49.11
188.2,253.53,69.2,60.29,104.31,79.83,16.23,8.65,36.54,8.34,16.27,365.0,Very Poor,2015,2,18,2,8,0.7394020351235611,129.49
159.97,193.78,24.53,40.51,47.8,81.44,13.11,5.08,31.88,3.11,6.12,352.0,Very Poor,2015,2,19,3,8,0.8212855529315125,65.03999999999999
144.12,162.2,18.1,34.71,40.32,81.04,11.45,5.93,31.61,2.35,6.76,317.0,Very Poor,2015,2,20,4,8,0.8830882352941177,52.81
155.38,191.03,35.51,45.11,57.91,69.59,14.21,12.24,30.11,4.69,16.48,320.0,Very Poor,2015,2,21,5,8,0.809144404520127,80.62
124.1,107.61,15.38,31.83,32.15,70.25,9.73,5.68,27.19,0.88,3.13,279.0,Poor,2015,2,22,6,8,1.142620384863272,47.21
141.39,157.01,21.95,38.23,42.71,36.38,9.29,9.43,36.86,2.02,11.23,281.0,Poor,2015,2,23,0,9,0.894816783747864,60.17999999999999
170.16,238.33,36.04,48.4,60.78,34.14,14.17,9.28,37.39,4.28,22.47,354.0,Very Poor,2015,2,24,1,9,0.7109848326578364,84.44
148.19,169.57,14.79,29.28,34.14,34.91,14.13,5.94,31.57,2.06,6.92,340.0,Very Poor,2015,2,25,2,9,0.8687928709620684,44.07
140.78,171.64,11.34,20.95,26.65,23.22,13.61,6.98,28.72,1.81,6.96,323.0,Very Poor,2015,2,26,3,9,0.815454124189064,32.29
130.42,163.67,13.85,24.75,31.46,22.36,12.78,12.12,34.08,2.14,8.56,315.0,Very Poor,2015,2,27,4,9,0.7920082589421267,38.6
105.86,169.28,9.21,20.65,25.3,16.49,11.8,12.48,41.38,1.97,7.83,310.0,Very Poor,2015,2,28,5,9,0.621681935635424,29.86
71.83,98.89,8.49,21.42,19.55,12.44,11.62,10.99,22.51,1.38,4.63,324.0,Very Poor,2015,3,1,6,9,0.7190910001001101,29.910000000000004
